level,hanzi,pinyin,pinyin_tone,pinyin_num,english,pos,tts_url,personal_interaction
1,爱,ai,ài,ai4,to love,动,https://api.wohuimandarin.com/nls/tts?text=%C3%A0i,8.0
1,八,ba,bā,ba1,eight,数,https://api.wohuimandarin.com/nls/tts?text=b%C4%81,8.0
1,爸爸,ba ba,bà ba,ba4 ba5,father,名,https://api.wohuimandarin.com/nls/tts?text=%E7%88%B8%E7%88%B8,8.0
1,杯子,bei zi,bēi zi,bei1 zi5,cup; glass; mug,名,https://api.wohuimandarin.com/nls/tts?text=%E6%9D%AF%E5%AD%90,8.0
1,北京,bei jing,běi jīng,bei3 jing1,Beijing,名,https://api.wohuimandarin.com/nls/tts?text=%E5%8C%97%E4%BA%AC,8.0
1,本,ben,běn,ben3,root; [measure word for books],量,https://api.wohuimandarin.com/nls/tts?text=b%C4%9Bn,8.0
1,不客气,bu ke qi,bú kè qi,bu2 ke4 qi5,you're welcome; impolite,,https://api.wohuimandarin.com/nls/tts?text=%E4%B8%8D%E5%AE%A2%E6%B0%94,8.0
1,不,bu,bù,bu4,not; no,副,https://api.wohuimandarin.com/nls/tts?text=b%C3%B9,8.0
1,菜,cai,cài,cai4,vegetable,名,https://api.wohuimandarin.com/nls/tts?text=c%C3%A0i,8.0
1,茶,cha,chá,cha2,tea,名,https://api.wohuimandarin.com/nls/tts?text=ch%C3%A1,8.0
1,吃,chi,chī,chi1,to eat,动,https://api.wohuimandarin.com/nls/tts?text=ch%C4%AB,8.0
1,出租车,chu zu che,chū zū chē,chu1 zu1 che1,taxi,名,https://api.wohuimandarin.com/nls/tts?text=%E5%87%BA%E7%A7%9F%E8%BD%A6,8.0
1,打电话,da dian hua,dǎ diàn huà,da3 dian4 hua4,to make a telephone call,,https://api.wohuimandarin.com/nls/tts?text=%E6%89%93%E7%94%B5%E8%AF%9D,8.0
1,大,da,dà,da4,big,形,https://api.wohuimandarin.com/nls/tts?text=d%C3%A0,8.0
1,的,de,de,de5,of,助,https://api.wohuimandarin.com/nls/tts?text=de,8.0
1,点,dian,diǎn,dian3,o’clock; spot; dot,量,https://api.wohuimandarin.com/nls/tts?text=di%C7%8En,8.0
1,电脑,dian nao,diàn nǎo,dian4 nao3,computer,名,https://api.wohuimandarin.com/nls/tts?text=%E7%94%B5%E8%84%91,8.0
1,电视,dian shi,diàn shì,dian4 shi4,TV,名,https://api.wohuimandarin.com/nls/tts?text=%E7%94%B5%E8%A7%86,8.0
1,电影,dian ying,diàn yǐng,dian4 ying3,film; movie,名,https://api.wohuimandarin.com/nls/tts?text=%E7%94%B5%E5%BD%B1,8.0
1,东西,dong xi,dōng xi,dong1 xi5,thing,名,https://api.wohuimandarin.com/nls/tts?text=%E4%B8%9C%E8%A5%BF,8.0
1,都,dou,dōu,dou1,both; all,副,https://api.wohuimandarin.com/nls/tts?text=d%C5%8Du,8.0
1,读,du,dú,du2,read aloud,动,https://api.wohuimandarin.com/nls/tts?text=d%C3%BA,8.0
1,对不起,dui bu qi,duì bu qǐ,dui4 bu5 qi3,sorry,动,https://api.wohuimandarin.com/nls/tts?text=%E5%AF%B9%E4%B8%8D%E8%B5%B7,8.0
1,多,duo,duō,duo1,much/many; how [+adjective],形/代,https://api.wohuimandarin.com/nls/tts?text=du%C5%8D,8.0
1,多少,duo shao,duō shǎo,duo1 shao3,how much/many?,代,https://api.wohuimandarin.com/nls/tts?text=%E5%A4%9A%E5%B0%91,8.0
